daytime,ExitSpeed,VExitAngle,HExitAngle,Carry,Bearing,HangTime,rho,hand,outcome,slg,LW,
210.95902,89.4,22.4,16.4,296.9,29.4,3.804,5.221E-03,Right,Fly Out,0,-0.289,
210.96451,87.9,32.3,-13.5,314.5,-29.3,4.723,5.221E-03,Left,Fly Out,0,-0.289,
210.97067,97.4,30.7,10.8,361.6,24.1,5.298,5.221E-03,Right,Fly Out,0,-0.289,
211.81091,92.3,27.1,39.4,366.6,51.6,4.794,5.221E-03,Left,Fly Out,0,-0.289,
211.82094,87.7,34.1,8.0,326.6,18.3,5.219,5.221E-03,Right,Fly Out,0,-0.289,
211.83128,92.4,34.0,13.1,350.9,11.1,5.652,5.221E-03,Left,Fly Out,0,-0.289,
211.83601,72.6,21.7,50.2,234.7,57.4,3.069,5.221E-03,Right,Fly Out,0,-0.289,
211.83631,78.3,18.6,2.8,270.7,5.7,3.365,5.221E-03,Right,Fly Out,0,-0.289,
211.84091,90.1,33.9,-17.5,292.2,-37.1,4.823,5.221E-03,Left,Fly Out,0,-0.289,
211.84664,96.3,27.0,1.8,367.8,-4.8,5.018,5.221E-03,Left,Fly Out,0,-0.289,
211.86278,92.6,22.7,41.5,320.2,53.8,3.826,5.221E-03,Right,Fly Out,0,-0.289,
211.88889,81.6,38.1,7.4,279.9,17.2,4.949,5.221E-03,Right,Fly Out,0,-0.289,
211.89013,82.1,36.7,10.5,293.1,19.4,4.971,5.221E-03,Right,Fly Out,0,-0.289,
211.89590,75.6,35.9,23.2,266.8,23.3,4.740,5.221E-03,Left,Fly Out,0,-0.289,
211.89741,87.2,25.0,3.8,327.9,13.1,4.305,5.221E-03,Right,Fly Out,0,-0.289,
211.91258,78.1,28.6,29.5,263.7,42.1,3.837,5.221E-03,Right,Fly Out,0,-0.289,
211.91728,75.7,46.5,15.6,233.2,26.2,5.119,5.221E-03,Right,Fly Out,0,-0.289,
211.91977,96.1,33.3,-11.4,377.3,-11.1,5.609,5.221E-03,Right,Fly Out,0,-0.289,
211.93456,76.1,32.3,-22.1,284.7,-28.9,4.604,5.221E-03,Right,Fly Out,0,-0.289,
211.93978,89.7,23.2,-17.0,299.0,-31.9,3.636,5.221E-03,Left,Fly Out,0,-0.289,
212.80470,86.0,19.9,-24.3,282.9,-28.8,3.264,5.221E-03,Right,Fly Out,0,-0.289,
212.80981,97.7,27.7,0.3,381.1,5.1,5.143,5.221E-03,Right,Fly Out,0,-0.289,
212.83323,83.3,40.7,20.0,285.7,23.3,5.237,5.221E-03,Left,Fly Out,0,-0.289,
212.83942,85.3,32.6,-3.3,321.2,-0.3,4.967,5.221E-03,Right,Fly Out,0,-0.289,
212.87641,92.9,-3.6,-44.4,38.0,-45.9,0.270,5.221E-03,Right,Fly Out,0,-0.289,
212.87763,76.6,31.0,12.1,278.1,19.8,4.305,5.221E-03,Right,Fly Out,0,-0.289,
212.89660,81.1,36.5,-3.9,287.6,-16.0,4.774,5.221E-03,Left,Fly Out,0,-0.289,
214.56076,75.1,42.9,10.3,251.9,19.7,5.102,5.211E-03,Right,Fly Out,0,-0.289,
214.56314,84.2,26.1,1.1,338.0,2.9,4.680,5.211E-03,Right,Fly Out,0,-0.289,
214.56560,86.3,23.5,5.5,316.3,-2.7,3.994,5.211E-03,Left,Fly Out,0,-0.289,
214.59333,87.6,27.1,-5.0,346.1,-5.3,4.584,5.211E-03,Right,Fly Out,0,-0.289,
