pl,vt,old,new
Tim Raines,Bob Klapisch,1,1
Nomar Garciaparra,Bob Klapisch,0,0
Mike Mussina,Bob Klapisch,1,1
Gary Sheffield,Bob Klapisch,0,0
Fred McGriff,Bob Klapisch,0,0
Alan Trammell,Bob Klapisch,0,0
Sammy Sosa,Bob Klapisch,0,0
Larry Walker,Bob Ryan,0,0
Roger Clemens,Bob Ryan,0,0
Curt Schilling,Bob Ryan,1,1
Mike Piazza,Bob Ryan,1,1
Lee Smith,Bob Ryan,0,0
Barry Bonds,Bob Ryan,0,0
Jeff Kent,Bob Ryan,0,1
Edgar Martinez,Bob Ryan,1,1
Jeff Bagwell,Bob Ryan,1,1
Mark McGwire,Bob Ryan,0,0
Tim Raines,Bob Ryan,1,1
Nomar Garciaparra,Bob Ryan,0,0
Mike Mussina,Bob Ryan,0,1
Gary Sheffield,Bob Ryan,0,0
Fred McGriff,Bob Ryan,0,0
Alan Trammell,Bob Ryan,1,1
Sammy Sosa,Bob Ryan,0,0
Larry Walker,Brian Costello,0,0
Roger Clemens,Brian Costello,1,1
Curt Schilling,Brian Costello,1,1
Mike Piazza,Brian Costello,1,1
Lee Smith,Brian Costello,0,0
Barry Bonds,Brian Costello,1,1
Jeff Kent,Brian Costello,0,0
Edgar Martinez,Brian Costello,0,0
Jeff Bagwell,Brian Costello,0,1
Mark McGwire,Brian Costello,1,1
Tim Raines,Brian Costello,0,0
Nomar Garciaparra,Brian Costello,0,0
Mike Mussina,Brian Costello,0,0
Gary Sheffield,Brian Costello,0,1
Fred McGriff,Brian Costello,0,0
Alan Trammell,Brian Costello,0,0
Sammy Sosa,Brian Costello,1,1
Larry Walker,Bruce Miles,0,0
Roger Clemens,Bruce Miles,0,0
Curt Schilling,Bruce Miles,1,1
Mike Piazza,Bruce Miles,1,1
Lee Smith,Bruce Miles,1,1
Barry Bonds,Bruce Miles,0,0
Jeff Kent,Bruce Miles,0,0
Edgar Martinez,Bruce Miles,0,1
Jeff Bagwell,Bruce Miles,1,1
Mark McGwire,Bruce Miles,0,0
Tim Raines,Bruce Miles,1,1
Nomar Garciaparra,Bruce Miles,0,0
Mike Mussina,Bruce Miles,0,1
Gary Sheffield,Bruce Miles,0,0
Fred McGriff,Bruce Miles,0,0
Alan Trammell,Bruce Miles,1,1
Sammy Sosa,Bruce Miles,0,0
Larry Walker,C Trent Rosecrans,1,1
Roger Clemens,C Trent Rosecrans,1,1
Curt Schilling,C Trent Rosecrans,1,1
Mike Piazza,C Trent Rosecrans,1,1
Lee Smith,C Trent Rosecrans,0,0
Barry Bonds,C Trent Rosecrans,1,1
Jeff Kent,C Trent Rosecrans,0,0
Edgar Martinez,C Trent Rosecrans,0,0
Jeff Bagwell,C Trent Rosecrans,1,1
Mark McGwire,C Trent Rosecrans,0,0
Tim Raines,C Trent Rosecrans,1,1
Nomar Garciaparra,C Trent Rosecrans,0,0
Mike Mussina,C Trent Rosecrans,1,1
Gary Sheffield,C Trent Rosecrans,0,0
Fred McGriff,C Trent Rosecrans,0,0
Alan Trammell,C Trent Rosecrans,0,1
Sammy Sosa,C Trent Rosecrans,0,0
Larry Walker,Carl Steward,0,0
Roger Clemens,Carl Steward,1,1
Curt Schilling,Carl Steward,0,1
Mike Piazza,Carl Steward,1,1
Lee Smith,Carl Steward,0,1
Barry Bonds,Carl Steward,1,1
Jeff Kent,Carl Steward,0,0
Edgar Martinez,Carl Steward,0,0
Jeff Bagwell,Carl Steward,1,1
Mark McGwire,Carl Steward,0,0
Tim Raines,Carl Steward,1,1
Nomar Garciaparra,Carl Steward,0,0
Mike Mussina,Carl Steward,0,0
Gary Sheffield,Carl Steward,0,0
Fred McGriff,Carl Steward,0,0
Alan Trammell,Carl Steward,1,1
Sammy Sosa,Carl Steward,0,0
Larry Walker,Carlos Frias,0,0
Roger Clemens,Carlos Frias,0,1
Curt Schilling,Carlos Frias,0,0
Mike Piazza,Carlos Frias,1,1
Lee Smith,Carlos Frias,0,0
Barry Bonds,Carlos Frias,0,1
Jeff Kent,Carlos Frias,0,0
Edgar Martinez,Carlos Frias,1,0
Jeff Bagwell,Carlos Frias,1,1
Mark McGwire,Carlos Frias,0,1
Tim Raines,Carlos Frias,1,1
Nomar Garciaparra,Carlos Frias,0,0
Mike Mussina,Carlos Frias,0,0
Gary Sheffield,Carlos Frias,0,0
Fred McGriff,Carlos Frias,0,0
Alan Trammell,Carlos Frias,0,0
Sammy Sosa,Carlos Frias,0,1
Larry Walker,Carrie Muskat,0,0
Roger Clemens,Carrie Muskat,0,1
Curt Schilling,Carrie Muskat,1,0
Mike Piazza,Carrie Muskat,0,0
Lee Smith,Carrie Muskat,0,0
Barry Bonds,Carrie Muskat,0,1
Jeff Kent,Carrie Muskat,0,0
Edgar Martinez,Carrie Muskat,0,0
Jeff Bagwell,Carrie Muskat,0,0
Mark McGwire,Carrie Muskat,0,0
Tim Raines,Carrie Muskat,1,1
Nomar Garciaparra,Carrie Muskat,0,0
Mike Mussina,Carrie Muskat,0,0
Gary Sheffield,Carrie Muskat,0,0
Fred McGriff,Carrie Muskat,0,0
Alan Trammell,Carrie Muskat,1,1
Sammy Sosa,Carrie Muskat,0,0
Larry Walker,Chris Assenheimer,0,0
Roger Clemens,Chris Assenheimer,0,0
Curt Schilling,Chris Assenheimer,0,0
Mike Piazza,Chris Assenheimer,1,1
Lee Smith,Chris Assenheimer,1,0
Barry Bonds,Chris Assenheimer,0,0
Jeff Kent,Chris Assenheimer,0,0
Edgar Martinez,Chris Assenheimer,0,0
Jeff Bagwell,Chris Assenheimer,0,0
Mark McGwire,Chris Assenheimer,0,0
Tim Raines,Chris Assenheimer,0,0
Nomar Garciaparra,Chris Assenheimer,1,0
Mike Mussina,Chris Assenheimer,0,0
Gary Sheffield,Chris Assenheimer,0,0
Fred McGriff,Chris Assenheimer,0,0
Alan Trammell,Chris Assenheimer,1,0
Sammy Sosa,Chris Assenheimer,0,0
Larry Walker,Chris Bahr,0,0
Roger Clemens,Chris Bahr,0,0
Curt Schilling,Chris Bahr,1,1
Mike Piazza,Chris Bahr,1,1
Lee Smith,Chris Bahr,1,1
Barry Bonds,Chris Bahr,0,0
Jeff Kent,Chris Bahr,0,0
Edgar Martinez,Chris Bahr,1,1
Jeff Bagwell,Chris Bahr,1,1
Mark McGwire,Chris Bahr,0,0
Tim Raines,Chris Bahr,1,1
Nomar Garciaparra,Chris Bahr,0,0
Mike Mussina,Chris Bahr,0,1
Gary Sheffield,Chris Bahr,0,0
Fred McGriff,Chris Bahr,0,0
Alan Trammell,Chris Bahr,0,1
Sammy Sosa,Chris Bahr,0,0
Larry Walker,Chris De Luca,0,0
Roger Clemens,Chris De Luca,1,1
Curt Schilling,Chris De Luca,0,0
Mike Piazza,Chris De Luca,1,1
Lee Smith,Chris De Luca,0,0
Barry Bonds,Chris De Luca,1,1
Jeff Kent,Chris De Luca,0,0
Edgar Martinez,Chris De Luca,0,0
Jeff Bagwell,Chris De Luca,0,0
Mark McGwire,Chris De Luca,0,0
Tim Raines,Chris De Luca,0,1
Nomar Garciaparra,Chris De Luca,0,0
Mike Mussina,Chris De Luca,0,0
Gary Sheffield,Chris De Luca,0,0
Fred McGriff,Chris De Luca,0,0
Alan Trammell,Chris De Luca,0,0
Sammy Sosa,Chris De Luca,1,1
Larry Walker,Chris Haft,0,0
Roger Clemens,Chris Haft,0,0
Curt Schilling,Chris Haft,0,1
Mike Piazza,Chris Haft,1,1
Lee Smith,Chris Haft,1,1
Barry Bonds,Chris Haft,0,0
Jeff Kent,Chris Haft,1,1
Edgar Martinez,Chris Haft,0,0
Jeff Bagwell,Chris Haft,1,1
Mark McGwire,Chris Haft,0,0
Tim Raines,Chris Haft,0,1
Nomar Garciaparra,Chris Haft,0,0
Mike Mussina,Chris Haft,0,0
Gary Sheffield,Chris Haft,0,1
Fred McGriff,Chris Haft,0,0
Alan Trammell,Chris Haft,0,1
Sammy Sosa,Chris Haft,0,0
Larry Walker,Dan Gelston,0,0
Roger Clemens,Dan Gelston,1,1
Curt Schilling,Dan Gelston,0,1
Mike Piazza,Dan Gelston,1,1
Lee Smith,Dan Gelston,0,0
Barry Bonds,Dan Gelston,1,1
Jeff Kent,Dan Gelston,0,0
Edgar Martinez,Dan Gelston,0,0
Jeff Bagwell,Dan Gelston,1,1
Mark McGwire,Dan Gelston,0,0
