idx,rank,player,war
5,72,Charlie Gehringer,38.2
5,73,Nap Rucker,38.1
5,74,Mike Trout,37.9
5,75,Curt Schilling,37.9
5,76,Clayton Kershaw,37.8
5,77,Eddie Plank,37.6
5,78,Eddie Cicotte,37.5
5,79,Adrian Beltre,37.4
5,80,Kevin Brown,37.4
5,81,George Sisler,37.4
5,82,Todd Helton,37.4
5,83,Robinson Cano,37.4
5,84,Al Kaline,37.2
5,85,Jeff Bagwell,37.0
5,86,Dick Allen,36.7
5,87,Frank Baker,36.7
5,88,Harry Heilmann,36.6
5,89,Johnny Bench,36.5
5,90,Gary Carter,36.5
5,91,Robin Yount,36.5
5,92,Ryne Sandberg,36.4
5,93,Brooks Robinson,36.2
5,94,Ralph Kiner,36.2
5,95,Vic Willis,36.1
5,96,Zack Greinke,36.0
5,97,Hank Greenberg,36.0
5,98,Andruw Jones,35.9
5,99,Johnny Mize,35.9
5,100,Reggie Jackson,35.9
6,1,Walter Johnson,78.7
6,2,Babe Ruth,74.4
6,3,Willie Mays,64.2
6,4,Rogers Hornsby,63.6
6,5,Barry Bonds,63.5
6,6,Pete Alexander,62.5
6,7,Ty Cobb,61.0
6,8,Ted Williams,60.8
6,9,Lou Gehrig,59.0
6,10,Cy Young,59.0
6,11,Christy Mathewson,58.8
6,12,Lefty Grove,58.8
6,13,Roger Clemens,58.2
6,14,Mickey Mantle,58.1
6,15,Ed Walsh,57.5
6,16,Honus Wagner,57.3
6,17,Eddie Collins,56.3
6,18,Stan Musial,56.2
6,19,Alex Rodriguez,55.8
6,20,Randy Johnson,55.5
6,21,Bob Gibson,55.2
6,22,Tris Speaker,54.4
6,23,Joe Morgan,53.5
6,24,Albert Pujols,53.2
6,25,Tom Seaver,52.9
6,26,Nap Lajoie,52.7
6,27,Pedro Martinez,52.6
6,28,Jimmie Foxx,52.4
6,29,Hank Aaron,52.1
6,30,Mike Schmidt,50.9
6,31,Rickey Henderson,50.8
6,32,Cal Ripken,50.4
6,33,Carl Yastrzemski,50.0
6,34,Wes Ferrell,50.0
6,35,Robin Roberts,49.9
6,36,Greg Maddux,49.8
6,37,Wade Boggs,49.8
6,38,Steve Carlton,48.9
6,39,Phil Niekro,48.9
6,40,Hal Newhouser,48.7
6,41,Ron Santo,48.3
6,42,Bob Feller,48.2
6,43,Juan Marichal,48.2
6,44,Ken Griffey,48.1
6,45,Rube Waddell,48.0
6,46,Gaylord Perry,47.7
6,47,Jackie Robinson,47.5
6,48,George Brett,47.4
6,49,Ernie Banks,47.3
6,50,Roberto Clemente,47.1
6,51,Sandy Koufax,47.1
6,52,Stan Coveleski,47.1
6,53,Eddie Mathews,47.1
6,54,Joe Jackson,46.8
6,55,Fergie Jenkins,46.7
6,56,Dazzy Vance,46.6
6,57,Mel Ott,46.4
6,58,Frank Robinson,46.4
6,59,Warren Spahn,45.9
6,60,Roy Halladay,45.8
6,61,Joe DiMaggio,45.5
6,62,Arky Vaughan,45.4
6,63,Chase Utley,45.3
6,64,Duke Snider,44.9
6,65,Bert Blyleven,44.8
6,66,Charlie Gehringer,44.7
6,67,Wilbur Wood,44.6
6,68,Jim Bunning,44.4
6,69,Rod Carew,44.3
6,70,Lou Boudreau,44.2
6,71,Eddie Plank,44.2
6,72,Joe McGinnity,44.1
6,73,Curt Schilling,43.9
6,74,Clayton Kershaw,43.2
6,75,Adrian Beltre,43.2
6,76,Al Kaline,43.2
6,77,Carl Hubbell,43.2
6,78,Robinson Cano,43.0
6,79,George Sisler,43.0
6,80,Nap Rucker,42.9
6,81,Jeff Bagwell,42.8
6,82,Gary Carter,42.4
6,83,Johnny Mize,42.4
6,84,Ryne Sandberg,42.2
6,85,Robin Yount,42.2
6,86,Kevin Brown,42.1
6,87,Hank Greenberg,42.1
6,88,Johnny Bench,42.1
6,89,Dick Allen,42.0
6,90,Todd Helton,42.0
6,91,Harry Heilmann,42.0
6,92,Frank Baker,41.9
