idx,rank,player,playerid,war
2,66,Joe Wood,woodjo02,18.1
2,67,George Brett,brettge01,18.0
2,68,Duke Snider,snidedu01,17.9
2,69,Arky Vaughan,vaughar01,17.8
2,70,Bert Blyleven,blylebe01,17.8
2,71,Robin Yount,yountro01,17.7
2,72,Bret Saberhagen,saberbr01,17.7
2,73,Larry Walker,walkela01,17.6
2,74,Lefty Gomez,gomezle01,17.6
2,75,Rod Carew,carewro01,17.5
2,76,Jim Bagby,bagbyji01,17.5
2,77,Curt Schilling,schilcu01,17.5
2,78,Wade Boggs,boggswa01,17.4
2,79,Dick Allen,allendi01,17.4
2,80,Kevin Appier,appieke01,17.3
2,81,Dolf Luque,luquedo01,17.3
2,82,Adrian Beltre,beltrad01,17.3
2,83,Jim Bunning,bunniji01,17.3
2,84,Nap Rucker,ruckena01,17.3
2,85,Ben Zobrist,zobribe01,17.3
2,86,Joe DiMaggio,dimagjo01,17.2
2,87,Vic Willis,willivi01,17.2
2,88,Chase Utley,utleych01,17.2
2,89,Roy Halladay,hallaro01,17.2
2,90,Snuffy Stirnweiss,stirnsn01,17.2
2,91,Frank Baker,bakerfr01,17.2
2,92,Roberto Clemente,clemero01,17.1
2,93,Todd Helton,heltoto01,17.1
2,94,Kevin Brown,brownke01,17.1
2,95,Mordecai Brown,brownmo01,17.0
2,96,Reggie Jackson,jacksre01,17.0
2,97,Jason Giambi,giambja01,16.9
2,98,Ichiro Suzuki,suzukic01,16.8
2,99,Teddy Higuera,higuete01,16.8
2,100,Mel Ott,ottme01,16.8
2,101,Noodles Hahn,hahnno01,16.8
2,102,Bucky Walters,waltebu01,16.7
2,103,Vida Blue,bluevi01,16.7
2,104,Cliff Lee,leecl02,16.7
2,105,Sammy Sosa,sosasa01,16.7
2,106,Frankie Frisch,friscfr01,16.7
2,107,Ewell Blackwell,blackew01,16.7
2,108,Al Kaline,kalinal01,16.6
2,109,Frank Robinson,robinfr02,16.6
2,110,Jack Chesbro,chesbja01,16.6
2,111,Robinson Cano,canoro01,16.6
2,112,Josh Donaldson,donaljo02,16.5
2,113,Eddie Mathews,matheed01,16.5
2,114,Harry Heilmann,heilmha01,16.5
2,115,Brooks Robinson,robinbr01,16.5
2,116,Sam McDowell,mcdowsa01,16.4
2,117,Ralph Kiner,kinerra01,16.4
2,118,Jim Maloney,malonji01,16.4
2,119,Johnny Bench,benchjo01,16.4
2,120,Johnny Sain,sainjo01,16.4
2,121,Clayton Kershaw,kershcl01,16.4
2,122,Ryne Sandberg,sandbry01,16.3
2,123,Eddie Plank,planked01,16.3
2,124,Luis Tiant,tiantlu01,16.3
2,125,Charlie Gehringer,gehrich01,16.2
2,126,Dizzy Dean,deandi01,16.2
2,127,Johan Santana,santajo02,16.2
2,128,Fred Lynn,lynnfr01,16.2
2,129,George Uhle,uhlege01,16.2
2,130,Darrell Evans,evansda01,16.2
2,131,Justin Verlander,verlaju01,16.2
2,132,Vean Gregg,greggve01,16.2
2,133,Burleigh Grimes,grimebu01,16.2
2,134,Tom Glavine,glavito02,16.2
2,135,Al Orth,orthal01,16.1
2,136,Ron Guidry,guidrro01,16.1
2,137,Jose Rijo,rijojo01,16.1
2,138,Al Rosen,rosenal01,16.1
2,139,Mickey Lolich,lolicmi01,16.1
2,140,Babe Adams,adamsba01,16.1
2,141,Rick Reuschel,reuscri01,16.0
2,142,Jim Palmer,palmeji01,16.0
2,143,Gary Carter,cartega01,16.0
2,144,Mark Langston,langsma01,16.0
2,145,Ed Killian,killied01,16.0
2,146,Urban Shocker,shockur01,16.0
2,147,Jack Taylor,tayloja02,16.0
2,148,Frank Tanana,tananfr01,15.9
2,149,Bobo Newsom,newsobo01,15.9
2,150,Craig Biggio,biggicr01,15.9
3,1,Walter Johnson,johnswa01,43.6
3,2,Babe Ruth,ruthba01,39.3
3,3,Pete Alexander,alexape01,35.3
3,4,Barry Bonds,bondsba01,34.2
3,5,Ed Walsh,walshed01,34.1
3,6,Bob Gibson,gibsobo01,33.3
3,7,Rogers Hornsby,hornsro01,33.3
3,8,Mickey Mantle,mantlmi01,33.0
3,9,Willie Mays,mayswi01,32.9
3,10,Cy Young,youngcy01,32.7
3,11,Ty Cobb,cobbty01,32.5
3,12,Carl Yastrzemski,yastrca01,32.4
3,13,Roger Clemens,clemero02,32.2
3,14,Ted Williams,willite01,32.1
3,15,Lou Gehrig,gehrilo01,31.8
3,16,Christy Mathewson,mathech01,31.6
3,17,Honus Wagner,wagneho01,31.0
3,18,Lefty Grove,grovele01,30.8
3,19,Tom Seaver,seaveto01,30.4
3,20,Joe McGinnity,mcginjo01,30.4
3,21,Pedro Martinez,martipe02,30.4
3,22,Randy Johnson,johnsra05,30.2
3,23,Hal Newhouser,newhoha01,30.0
3,24,Steve Carlton,carltst01,30.0
3,25,Rube Waddell,wadderu01,30.0
3,26,Wilbur Wood,woodwi01,29.9
3,27,Joe Morgan,morgajo02,29.8
3,28,Stan Musial,musiast01,29.8
3,29,Bob Feller,fellebo01,29.7
3,30,Cal Ripken,ripkeca01,29.6
3,31,Sandy Koufax,koufasa01,29.6
3,32,Eddie Collins,collied01,29.5
3,33,Mike Trout,troutmi01,29.4
3,34,Alex Rodriguez,rodrial01,29.2
3,35,Tris Speaker,speaktr01,29.0
3,36,Jimmie Foxx,foxxji01,28.7
3,37,Rickey Henderson,henderi01,28.6
3,38,Nap Lajoie,lajoina01,28.5
3,39,Juan Marichal,maricju01,28.4
3,40,Eddie Cicotte,cicoted01,28.3
3,41,Dazzy Vance,vanceda01,28.3
3,42,Wes Ferrell,ferrewe01,28.1
3,43,Greg Maddux,maddugr01,27.8
3,44,Ernie Banks,bankser01,27.7
3,45,Jackie Robinson,robinja02,27.7
3,46,Gaylord Perry,perryga01,27.7
3,47,Albert Pujols,pujolal01,27.7
3,48,Ron Santo,santoro01,27.6
3,49,Ken Griffey,griffke02,27.5
3,50,Robin Roberts,roberro01,27.5
3,51,Mike Schmidt,schmimi01,27.4
3,52,Phil Niekro,niekrph01,27.3
3,53,Hank Aaron,aaronha01,27.1
3,54,Fergie Jenkins,jenkife01,27.0
3,55,Stan Coveleski,covelst01,26.7
3,56,Red Faber,faberre01,26.6
3,57,Warren Spahn,spahnwa01,26.6
3,58,Joe Jackson,jacksjo01,26.4
3,59,George Brett,brettge01,26.3
3,60,Lou Boudreau,boudrlo01,26.3
3,61,Duke Snider,snidedu01,26.2
3,62,Carl Hubbell,hubbeca01,26.1
3,63,Wade Boggs,boggswa01,25.8
3,64,Zack Greinke,greinza01,25.7
3,65,Vic Willis,willivi01,25.5
3,66,Arky Vaughan,vaughar01,25.4
3,67,Curt Schilling,schilcu01,25.4
3,68,Russ Ford,fordru01,25.4
3,69,George Sisler,sislege01,25.4
3,70,Joe DiMaggio,dimagjo01,25.3
3,71,Roy Halladay,hallaro01,25.3
3,72,Jim Bunning,bunniji01,25.3
3,73,Roberto Clemente,clemero01,25.2
3,74,Nap Rucker,ruckena01,25.1
3,75,Chase Utley,utleych01,25.0
3,76,Bert Blyleven,blylebe01,25.0
3,77,Bret Saberhagen,saberbr01,25.0
3,78,Rod Carew,carewro01,25.0
3,79,Dick Allen,allendi01,24.9
3,80,Todd Helton,heltoto01,24.9
3,81,Robin Yount,yountro01,24.8
3,82,Mel Ott,ottme01,24.6
3,83,Adrian Beltre,beltrad01,24.6
3,84,Noodles Hahn,hahnno01,24.5
3,85,Ralph Kiner,kinerra01,24.5
3,86,Frank Baker,bakerfr01,24.5
3,87,Eddie Mathews,matheed01,24.5
3,88,Dizzy Trout,troutdi01,24.4
3,89,Robinson Cano,canoro01,24.3
3,90,Frank Robinson,robinfr02,24.3
3,91,Kevin Brown,brownke01,24.2
3,92,Mordecai Brown,brownmo01,24.2
3,93,Brooks Robinson,robinbr01,24.2
3,94,Al Kaline,kalinal01,24.1
3,95,Jason Giambi,giambja01,24.0
3,96,Clayton Kershaw,kershcl01,23.9
3,97,Joe Wood,woodjo02,23.9
3,98,Josh Donaldson,donaljo02,23.9
3,99,Johnny Bench,benchjo01,23.8
3,100,Frankie Frisch,friscfr01,23.8
3,101,Larry Walker,walkela01,23.7
3,102,Reggie Jackson,jacksre01,23.6
3,103,Charlie Gehringer,gehrich01,23.6
3,104,Cliff Lee,leecl02,23.6
3,105,George Uhle,uhlege01,23.6
3,106,Eddie Plank,planked01,23.5
3,107,Bucky Walters,waltebu01,23.4
3,108,Johan Santana,santajo02,23.4
3,109,Kevin Appier,appieke01,23.4
3,110,Dwight Gooden,goodedw01,23.4
3,111,Harry Heilmann,heilmha01,23.4
3,112,Ryne Sandberg,sandbry01,23.4
3,113,Teddy Higuera,higuete01,23.3
3,114,Dizzy Dean,deandi01,23.3
3,115,Frank Tanana,tananfr01,23.3
3,116,Jeff Bagwell,bagweje01,23.3
3,117,Lefty Gomez,gomezle01,23.3
3,118,Al Simmons,simmoal01,23.1
3,119,Gary Carter,cartega01,23.1
3,120,Sam McDowell,mcdowsa01,23.1
3,121,Ben Zobrist,zobribe01,22.9
3,122,Vida Blue,bluevi01,22.9
3,123,Bobby Grich,grichbo01,22.9
3,124,Babe Adams,adamsba01,22.9
3,125,Burleigh Grimes,grimebu01,22.8
3,126,Luis Tiant,tiantlu01,22.8
3,127,Tom Glavine,glavito02,22.7
3,128,Ichiro Suzuki,suzukic01,22.7
3,129,Urban Shocker,shockur01,22.7
3,130,Andruw Jones,jonesan01,22.6
3,131,Dave Stieb,stiebda01,22.6
3,132,Jim Palmer,palmeji01,22.6
3,133,Evan Longoria,longoev01,22.6
3,134,Hank Greenberg,greenha01,22.5
3,135,Hippo Vaughn,vaughhi01,22.5
3,136,Joe Cronin,cronijo01,22.4
3,137,Sammy Sosa,sosasa01,22.4
3,138,Johnny Mize,mizejo01,22.4
3,139,Mark Langston,langsma01,22.4
3,140,Dolf Luque,luquedo01,22.3
3,141,Frank Viola,violafr01,22.3
3,142,Scott Rolen,rolensc01,22.3
3,143,Ken Boyer,boyerke01,22.2
3,144,David Wright,wrighda03,22.2
3,145,Jimmy Wynn,wynnji01,22.2
3,146,Andre Dawson,dawsoan01,22.2
3,147,Jim Bagby,bagbyji01,22.1
3,148,Craig Biggio,biggicr01,22.1
3,149,Jack Chesbro,chesbja01,22.1
3,150,Chuck Finley,finlech01,22.1
4,1,Walter Johnson,johnswa01,55.7
4,2,Babe Ruth,ruthba01,51.2
4,3,Pete Alexander,alexape01,45.2
4,4,Barry Bonds,bondsba01,44.1
4,5,Rogers Hornsby,hornsro01,43.5
4,6,Willie Mays,mayswi01,43.5
4,7,Ed Walsh,walshed01,43.2
4,8,Mickey Mantle,mantlmi01,42.5
4,9,Cy Young,youngcy01,42.5
4,10,Ty Cobb,cobbty01,42.3
4,11,Ted Williams,willite01,41.9
4,12,Christy Mathewson,mathech01,41.6
4,13,Lou Gehrig,gehrilo01,41.1
4,14,Roger Clemens,clemero02,41.1
4,15,Bob Gibson,gibsobo01,41.1
4,16,Lefty Grove,grovele01,40.3
4,17,Honus Wagner,wagneho01,40.1
4,18,Joe Morgan,morgajo02,39.1
4,19,Carl Yastrzemski,yastrca01,39.0
4,20,Randy Johnson,johnsra05,38.8
4,21,Stan Musial,musiast01,38.8
4,22,Rube Waddell,wadderu01,38.8
4,23,Tom Seaver,seaveto01,38.7
4,24,Eddie Collins,collied01,38.6
4,25,Alex Rodriguez,rodrial01,38.5
4,26,Pedro Martinez,martipe02,38.4
4,27,Joe McGinnity,mcginjo01,38.0
4,28,Bob Feller,fellebo01,37.7
4,29,Tris Speaker,speaktr01,37.6
4,30,Mike Trout,troutmi01,37.3
4,31,Rickey Henderson,henderi01,37.2
4,32,Cal Ripken,ripkeca01,37.1
4,33,Steve Carlton,carltst01,37.0
4,34,Sandy Koufax,koufasa01,37.0
4,35,Jimmie Foxx,foxxji01,37.0
4,36,Nap Lajoie,lajoina01,36.9
4,37,Hal Newhouser,newhoha01,36.6
4,38,Albert Pujols,pujolal01,36.3
4,39,Wes Ferrell,ferrewe01,36.2
4,40,Juan Marichal,maricju01,36.2
4,41,Robin Roberts,roberro01,36.0
4,42,Hank Aaron,aaronha01,35.6
4,43,Greg Maddux,maddugr01,35.6
4,44,Ernie Banks,bankser01,35.6
4,45,Wilbur Wood,woodwi01,35.5
4,46,Dazzy Vance,vanceda01,35.4
4,47,Mike Schmidt,schmimi01,35.4
4,48,Gaylord Perry,perryga01,35.3
4,49,Phil Niekro,niekrph01,35.3
4,50,Ron Santo,santoro01,35.2
4,51,Jackie Robinson,robinja02,35.2
4,52,Ken Griffey,griffke02,34.6
4,53,Fergie Jenkins,jenkife01,34.2
4,54,Wade Boggs,boggswa01,34.0
4,55,George Brett,brettge01,33.9
4,56,Joe Jackson,jacksjo01,33.9
4,57,Duke Snider,snidedu01,33.8
4,58,Lou Boudreau,boudrlo01,33.7
4,59,Stan Coveleski,covelst01,33.7
4,60,Warren Spahn,spahnwa01,33.7
4,61,Eddie Cicotte,cicoted01,33.5
4,62,Carl Hubbell,hubbeca01,33.3
4,63,Roy Halladay,hallaro01,32.7
4,64,Roberto Clemente,clemero01,32.7
4,65,Joe DiMaggio,dimagjo01,32.6
4,66,Arky Vaughan,vaughar01,32.4
