pitcher,npa,year,icpt_dra_0,icpt_dra_bases_outs,icpt_dra_bats_stadium,icpt_dra_batter,icpt_dra_catcher,icpt_dra_csaa,icpt_dra_fraa_bat_home_id,icpt_dra_full,icpt_dra_inn_bat_home_id,icpt_dra_inn_scorediff,icpt_dra_role,icpt_dra_temp_log,icpt_dra_umpire
alvaw001,896,1997,-0.0264308830705414,-0.0261594429604704,-0.0202346689462042,-0.0229537982141273,-0.0256634357957577,-0.0248739451627391,-0.0271265339697904,-0.0203343233001232,-0.026836521790154,-0.0273224785469353,-0.0287015204398779,-0.0265404076328353,-0.0265511856018594
andeb002,199,1997,-0.000168978412498234,-0.000244415454689829,-0.00036956312391,0.00173861459804327,-0.00103841390129328,0.000156764742439506,0.000983950263095981,0.00156574801267707,0.000170404627220667,-0.000632760551314009,-0.00123044540181322,-0.00027339470374693,-0.000387405505971169
andul001,244,1997,0.0304136589304042,0.0300082206566353,0.0295314379615563,0.0282949168713135,0.0283015332589703,0.0303130771197528,0.028412980230469,0.0252721746447592,0.0292513235262084,0.0296946410252266,0.0302923733287476,0.0309771682865139,0.0302956305304658
appik001,972,1997,-0.0235734623085966,-0.0235863762015996,-0.0253765845959254,-0.0242067954366596,-0.0216481511509455,-0.0210606924739621,-0.0195070228420351,-0.0253570100973043,-0.0238051365541574,-0.0241808494967115,-0.0258608574398364,-0.0239453041116221,-0.0237092443503192
arocr001,54,1997,0.00870438231388551,0.00865106515282078,0.00876191256312732,0.0100694193803835,0.00790975261293192,0.00820615166396499,0.00810738623618523,0.00858954589398031,0.0078305109321067,0.00827065479639278,0.00936827298587151,0.00881143818514267,0.00871073919731759
ashba002,851,1997,-0.0165044165215049,-0.0169539869618738,-0.0131539952295637,-0.0164801377088543,-0.0194706747313489,-0.0174967475512205,-0.0248758279748575,-0.0204769767123062,-0.0170367295348904,-0.0173304001130276,-0.0186800130390839,-0.0167883650806089,-0.0163519961152355
assep001,205,1997,-0.0181132489592372,-0.0183087979635097,-0.0187929156941977,-0.0197932192691597,-0.0168322344156689,-0.0169442065307936,-0.0165410975354429,-0.0151718909676874,-0.0164117401021282,-0.0166922747823242,-0.017093545761871,-0.0180993039925156,-0.0181161096217175
astap001,861,1997,-0.0105046452734778,-0.0107171433664908,-0.00652470324539835,-0.0109792856514507,-0.00569890598602937,-0.00926808276511713,-0.0138200926332739,-0.0101795274726073,-0.0122242131715702,-0.0118811144807718,-0.0125689285770948,-0.0105439666689363,-0.0104590924100116
avers001,453,1997,0.0275990486121406,0.0279781218551337,0.0233508374702286,0.0272229853517384,0.0241243857020225,0.0269398087084586,0.028190355924481,0.0239449809188448,0.0259433937952414,0.0266011326122211,0.0264254058330602,0.0276834242658581,0.027386383260372
ayalb002,404,1997,-0.00214942771258383,-0.00223413104690743,-0.00856784802169449,-0.00269148806019311,-0.00582889077701823,-0.00327843009863127,-0.00264372798816681,-0.00550293282305094,-0.000432043533704933,-0.000210609989408359,-0.000286805480965593,-0.00188406037502574,-0.00222553169105072
aybam001,295,1997,-0.000265489316490583,-0.000394459903526544,0.00336205221042525,-0.000367989507586162,0.000803308193595492,-0.000434924194781223,0.00122295202792934,0.00182500899754222,-0.000180566367961871,-0.00080461869773361,-0.00160260007766057,-0.000782001676854492,-0.000150238909792795
bailc001,45,1997,0.00618916569049485,0.00592497657923855,0.00575629629134689,0.00747240733283439,0.00519130503108926,0.00603627808081835,0.00644766450582931,0.00709601632187703,0.00618570060668082,0.00668366393774321,0.0067315285624986,0.00615385180346796,0.00612635086409669
